void_id,cx_mpc,cy_mpc,cz_mpc,R_void_mpc,n_members
645,195.6068,137.0309,126.1395,11.715568025791427,4
646,43.23361,89.67878999999999,181.1605,14.061143139355146,4
650,168.9576,38.6409,177.0772,6.857952596655543,2
651,170.5461,124.75569999999999,177.02439999999999,13.475916656397926,3
652,61.15797,65.89505,47.9495,6.878345523736092,2
653,136.311,54.2607,50.1637,9.063689153880405,2
658,121.36410000000001,93.99959,195.3992,11.02023284062917,2
662,2.1647469999999998,78.86238,68.35036,11.307013279721696,3
664,76.20406,137.64079999999998,68.16481,13.600479999999992,1
666,13.56734,130.4354,130.3462,8.129901852692651,2
669,15.20759,147.5472,24.92879,20.18647999999999,1
671,198.025,198.5728,120.106,9.400536234355217,2
672,121.4812,26.01082,97.17848,13.678599999999992,1
676,201.0967,3.712154,104.1842,11.383195233219508,3
679,186.4001,100.1772,37.59872,13.228779999999993,1
682,95.84065,124.7445,50.331559999999996,13.22788999999999,1
684,5.27704,65.9297,76.65274000000001,6.923278794437865,2
686,11.66291,191.84470000000002,111.80460000000001,8.048982411058416,2
692,3.969429,193.7843,56.707550000000005,7.8124751596094875,2
693,81.27128,161.7375,28.01,14.36792638353855,4
695,199.0521,176.1781,65.88452000000001,12.286645668264233,2
698,192.81320000000002,47.74149,81.90348,10.717715180993963,3
699,105.5102,1.577945,144.2101,6.831161124684301,2
701,11.374,123.5553,149.4206,12.366332546088698,3
704,191.711,15.74169,199.293,9.958241949782314,3
709,31.06089,7.429605,172.5975,8.157861269347562,3
713,130.8793,169.78279999999998,4.5266329999999995,7.806648629269229,2
