void_id,sample,RA,Dec,z_void,R_void_mpc,M_annulus_1e14,N_in_annulus,V_annulus_mpc3,rho_annulus,rho_mean_bin,delta
8115,CMASS South,4.237,-3.729,0.564,52.843,30.219767757064904,6,34612983.27048435,8.73076080178108e-07,1.85319635923684e-06,-0.528880965135477
4518,CMASS South,333.451,16.358,0.502,60.291,204.71781973006915,55,51408401.255688235,3.9821860771719205e-06,1.85319635923684e-06,1.14882036505393
7411,CMASS South,16.149,30.842,0.546,59.486,103.96758210485615,23,49376572.12969761,2.105605505213366e-06,1.85319635923684e-06,0.13620205150870787
8349,CMASS South,0.252,-4.946,0.575,44.526,20.685828683067946,4,20707023.77915228,9.989764296255034e-07,1.85319635923684e-06,-0.46094410090634474
7488,CMASS South,26.764,30.774,0.462,51.729,170.2927223218202,53,32469745.53411412,5.244658358745168e-06,6.64238378624601e-06,-0.2104252738896282
687,CMASS South,327.904,-0.199,0.561,57.42,47.8571586072443,10,44408509.88505626,1.0776573843867824e-06,1.85319635923684e-06,-0.41848721048072335
6364,CMASS South,8.282,16.103,0.509,64.706,314.79299423086684,87,63549230.551923566,4.9535295942515295e-06,1.85319635923684e-06,1.6729653172270582
1800,CMASS South,346.754,0.316,0.482,47.431,109.34753497803295,28,25030151.57555516,4.368632552941608e-06,6.64238378624601e-06,-0.342309524182045
5685,CMASS South,10.833,15.16,0.634,87.737,21.523826997032735,4,158425460.30940056,1.3586090868852326e-07,1.85319635923684e-06,-0.9266883360679211
3920,CMASS South,331.133,-1.181,0.505,43.544,107.97049759634893,26,19366966.451004088,5.574982425332345e-06,1.85319635923684e-06,2.0083063770037644
1944,CMASS South,26.733,3.167,0.552,50.876,62.91335120894333,15,30889829.57753777,2.036701143041986e-06,1.85319635923684e-06,0.09902069086770418
5050,CMASS South,332.678,22.127,0.461,65.232,280.9028306541731,96,65111652.64650821,4.314171415356284e-06,6.64238378624601e-06,-0.3505085592480544
1788,CMASS South,12.986,0.928,0.454,42.112,147.18727413090483,48,17518391.959819853,8.401871271546683e-06,6.64238378624601e-06,0.2648879591907862
239,CMASS South,323.953,5.365,0.474,74.148,347.425746853518,113,95625773.27716427,3.633181044680601e-06,6.64238378624601e-06,-0.45303054421462163
1521,CMASS South,28.674,5.777,0.563,46.567,31.099284955255342,7,23687073.99658805,1.312922185312334e-06,1.85319635923684e-06,-0.29153638859240744
6641,CMASS South,13.925,33.383,0.551,36.576,24.972592269174704,6,11477974.682120502,2.175696754940144e-06,1.85319635923684e-06,0.1740238664380454
4638,CMASS South,18.354,14.83,0.59,57.309,34.063119579438684,5,44151465.909013584,7.715059710505479e-07,1.85319635923684e-06,-0.5836890315453351
315,CMASS South,318.861,6.651,0.457,25.403,27.78687873534737,10,3845312.688010628,7.2261688423894876e-06,6.64238378624601e-06,0.08788788406841028
6958,CMASS South,358.797,10.019,0.542,66.947,145.95393533407304,35,70383360.29590583,2.073699447148492e-06,1.85319635923684e-06,0.11898528011486961
974,CMASS South,18.149,-0.483,0.48,45.02,47.818856372366,18,21403909.61235648,2.2341178428804506e-06,6.64238378624601e-06,-0.6636572178339791
1911,CMASS South,6.68,2.989,0.456,42.91,130.13953420554782,48,18533275.42591128,7.021939253306535e-06,6.64238378624601e-06,0.05714145392297985
6582,CMASS South,358.776,12.427,0.46,63.747,599.232028326653,209,60765334.09128826,9.861412551874096e-06,6.64238378624601e-06,0.4846195084803046
1907,CMASS South,359.14,2.845,0.505,44.144,85.13538456453662,24,20178630.40104937,4.219086373677236e-06,1.85319635923684e-06,1.2766537138108167
6142,CMASS South,347.124,21.461,0.471,90.625,1190.1773825022203,390,174590534.70013353,6.816963958248935e-06,6.64238378624601e-06,0.026282758964397402
4591,CMASS South,331.572,20.141,0.624,85.286,26.847116291597445,6,145515707.23910394,1.8449634614003313e-07,1.85319635923684e-06,-0.900444253939712
3589,CMASS South,36.576,-6.087,0.54,65.156,70.13732978779123,17,64884338.33008231,1.0809593130315312e-06,1.85319635923684e-06,-0.4167054626220622
5640,CMASS South,349.879,13.804,0.455,38.473,164.70653727372903,51,13358103.1838826,1.2330084219775899e-05,6.64238378624601e-06,0.8562739848466859
168,CMASS South,319.996,6.365,0.487,45.545,54.11515213739103,21,22161479.756441683,2.4418564433478933e-06,6.64238378624601e-06,-0.6323825117717377
6347,CMASS South,9.272,16.973,0.462,70.728,832.5648670470332,267,82994778.26789817,1.0031533120789887e-05,6.64238378624601e-06,0.5102308815039546
1836,CMASS South,10.374,2.849,0.58,71.477,80.3172751003707,17,85659509.83526406,9.376340730274166e-07,1.85319635923684e-06,-0.49404494113427827
7631,CMASS South,14.729,33.034,0.472,40.422,91.33305667488817,25,15492804.10275209,5.895192120751341e-06,6.64238378624601e-06,-0.11248848147585726
2349,CMASS South,27.654,9.211,0.516,42.935,113.91054027698644,29,18565687.582663182,6.135541157299081e-06,1.85319635923684e-06,2.3107884799783127
7242,CMASS South,27.784,28.196,0.538,50.874,53.98523999339495,12,30886186.765766993,1.7478764990578253e-06,1.85319635923684e-06,-0.05683146292300418
9632,CMASS South,40.884,-6.149,0.467,44.947,61.41396566340696,21,21299958.93275246,2.883290332028392e-06,6.64238378624601e-06,-0.565925362819497
6313,CMASS South,357.92,25.424,0.526,47.266,95.13321950535762,21,24769839.254245996,3.840687802971918e-06,1.85319635923684e-06,1.0724667323183936
7011,CMASS South,355.588,7.723,0.636,92.959,14.902745769396628,3,188430398.1774985,7.908886206013572e-08,1.85319635923684e-06,-0.9573229994404343
6377,CMASS South,3.276,17.428,0.529,49.181,84.77519687582905,19,27904143.803526536,3.0380862954524745e-06,1.85319635923684e-06,0.6393763565905023
